League,Year,Pos,Team
Brasileirão,2023.0,1,Palmeiras
Brasileirão,2023.0,2,Grêmio
Brasileirão,2023.0,3,Atlético-MG
Brasileirão,2023.0,4,Flamengo
Brasileirão,2023.0,5,Botafogo
Brasileirão,2023.0,6,Bragantino
Brasileirão,2023.0,7,Fluminense
Brasileirão,2023.0,8,Atlético-PR
Brasileirão,2023.0,9,Internacional
Brasileirão,2023.0,10,Fortaleza
Brasileirão,2023.0,11,São Paulo
Brasileirão,2023.0,12,Cuiabá
Brasileirão,2023.0,13,Corinthians
Brasileirão,2023.0,14,Cruzeiro
Brasileirão,2023.0,15,Vasco
Brasileirão,2023.0,16,Bahia
Brasileirão,2023.0,17,Santos
Brasileirão,2023.0,18,Goiás
Brasileirão,2023.0,19,Coritiba
Brasileirão,2023.0,20,América-MG
Brasileirão,2022.0,1,Palmeiras
Brasileirão,2022.0,2,Internacional
Brasileirão,2022.0,3,Fluminense
Brasileirão,2022.0,4,Corinthians
Brasileirão,2022.0,5,Flamengo
Brasileirão,2022.0,6,Atlético-PR
Brasileirão,2022.0,7,Atlético-MG
Brasileirão,2022.0,8,Fortaleza
Brasileirão,2022.0,9,São Paulo
Brasileirão,2022.0,10,América-MG
Brasileirão,2022.0,11,Botafogo
Brasileirão,2022.0,12,Santos
Brasileirão,2022.0,13,Goiás
Brasileirão,2022.0,14,Bragantino
Brasileirão,2022.0,15,Coritiba
Brasileirão,2022.0,16,Cuiabá
Brasileirão,2022.0,17,Ceará
Brasileirão,2022.0,18,Avaí
Brasileirão,2022.0,19,Atlético-GO
Brasileirão,2022.0,20,Juventude
Brasileirão,2021.0,1,Atlético-MG
Brasileirão,2021.0,2,Flamengo
Brasileirão,2021.0,3,Palmeiras
Brasileirão,2021.0,4,Fortaleza
Brasileirão,2021.0,5,Corinthians
Brasileirão,2021.0,6,Bragantino
Brasileirão,2021.0,7,Fluminense
Brasileirão,2021.0,8,América-MG
Brasileirão,2021.0,9,Atlético-GO
Brasileirão,2021.0,10,Santos
Brasileirão,2021.0,11,Ceará
Brasileirão,2021.0,12,Internacional
Brasileirão,2021.0,13,São Paulo
Brasileirão,2021.0,14,Atlético-PR
Brasileirão,2021.0,15,Cuiabá
Brasileirão,2021.0,16,Juventude
